Year;The organization works (1 - works, 0 - no);The organization receives agricultural production from the activity (1 - yes, 0 - no);Number of workers last year, persons;Average monthly salary of workers last year;Size of acreage last year, hectare;Conditional livestock of farm animals last year, heads;Quantity of agricultural machinery last year, pieces;Cost of fixed assets of the organization last year;Costs of production of the organization last year;Prime cost of the made agricultural production last year;Proceeds from sales of the made agricultural production last year;Profit on realization of the made agricultural production last year
2017;1;1;17;21166.66667;2392;0;10;42713;43746;17785;18109;324
2017;1;1;7;9511.904762;194;0;0;141;1790;476;298;-178
2017;1;1;139;25053.95683;3350;1363;47;243649;172316;123695;134652;10957
2017;1;1;4;12437.5;0;146;0;0;3059;2983;3171;188
2017;1;1;8;15979.16667;575;0;6;2036;4608;3657;4010;353
2017;1;1;3;11805.55556;848;0;6;792;1595;845;836;-9
2017;1;1;0.08;9375;300;0;6;1071;502;220;148;-72
2017;1;1;34;11735.29412;2351;774;19;31678;45882;29077;32157;3080
2017;1;1;25;12720;600;398;0;7570;23650;22509;20545;-1964
2017;1;1;30;13691.66667;2350;0;5;6606;30520;25788;14076;-11712
2017;1;1;7;49250;2380;0;2;77935;48388;36241;13569;-22672
2017;1;1;8;8656.25;1270;0;12;29238;6210;6214;4310;-1904
2017;1;1;5;20200;1513;0;14;34104;11593;9502;11565;2063
2017;1;1;52;16410.25641;5866;0;31;114278;91740;54786;68126;13340
2017;1;1;47;13434.39716;3632;440;19;48738;39531;26935;29622;2687
2017;1;1;147;16437.64172;6981;1268;40;179095;116727;79888;82984;3096
2017;1;1;103;14604.36893;6930;691;39;83991;81517;52068;77762;25694
2017;1;1;0.5;4500;89;0;2;639;110;-90;74;-16
2017;1;1;16;15005.20833;2399;676.2;8;165414;51633;-36408;43328;5577
2017;1;1;43;14205.42636;3760;614;28;52282;40425;-25136;18171;-6428
2017;1;1;3;8583.333333;1772;0;13;8286;1265;-894;718;-176
2017;1;1;2;9708.333333;1690;0;6;8984;1132;-619;320;-299
2017;1;1;1;12000;800;0;3;13631;395;-164;142;-22
2017;1;1;0.5;22500;1005;0;3;5723;1548;-1626;1546;-80
2017;1;1;11;13128.78788;3344;95;13;25129;7611;-3561;2731;-1478
